sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index,median,median_2,r_new,r2_new
131,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
132,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
133,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
134,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
135,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
136,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
137,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
138,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
139,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
140,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
141,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
142,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
143,-90.51,-80.99,-2.36,-1.57,50,0,,wt-at,-90.51/-2.36,2,0,0,0,0
152,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
172,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
19,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
2,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
21,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
24,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
3,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
317,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
318,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
319,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
320,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
321,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
323,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
324,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
325,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
326,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
327,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
328,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
329,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
330,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
331,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
332,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
333,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
334,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
335,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
336,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
337,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
338,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
339,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
340,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
4,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
5,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
6,-90.51,-80.99,-2.36,-1.57,50,0,,mt-at,-90.51/-2.36,2,0,0,0,0
1,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
101,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
102,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
103,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
104,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
105,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
106,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
107,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
108,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
109,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
110,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
111,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
112_1,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
112_2,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
113,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
114,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
115,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
116,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
117,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
118,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
119,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
120,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
121,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
122,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
123,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
124,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
125,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
126,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
127,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
128,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
129,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
130,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
131,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
132,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
133,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
134,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
135,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
136,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
137,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
138,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
139,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
140,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
141,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
142,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
143,-90.51,-80.99,-1.57,-0.79,50,0,,wt-at,-90.51/-1.57,3,0,0,0,0
152,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
172,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
19,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
2,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
21,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
24,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
3,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
317,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
318,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
319,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
320,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
321,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
323,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
324,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
325,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
326,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
327,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
328,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
329,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
330,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
331,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
332,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
333,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
334,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
335,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
336,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
337,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
338,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
339,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
340,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
4,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
5,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
6,-90.51,-80.99,-1.57,-0.79,50,0,,mt-at,-90.51/-1.57,3,0,0,0,0
1,-90.51,-80.99,-0.79,0,50,0,,mt-at,-90.51/-0.79,4,0,0,0,0
101,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
102,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
103,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
104,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
105,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
106,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
107,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
108,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
109,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
110,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
111,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
112_1,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
112_2,-90.51,-80.99,-0.79,0,50,0,,mt-at,-90.51/-0.79,4,0,0,0,0
113,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
114,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
115,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
116,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
117,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
118,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
119,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
120,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
121,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
122,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
123,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
124,-90.51,-80.99,-0.79,0,50,0,,wt-at,-90.51/-0.79,4,7.063969395,14.12793879,7.063969395,14.12793879
